"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"polysat","polysat","/Users/edc5240/Rlibs","1.7-6",NA,NA,"methods, stats, utils, grDevices, graphics, Rcpp","Rcpp","ade4, adegenet, ape",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"poppr","poppr","/Users/edc5240/Rlibs","2.9.3",NA,"R (>= 2.15.1), adegenet (>= 2.0.0)","stats, graphics, grDevices, utils, vegan, ggplot2, ape (>=
3.1-1), igraph (>= 1.0.0), methods, ade4, pegas, polysat, dplyr
(>= 0.4), rlang, boot, shiny, magrittr, progressr",NA,"testthat, knitr, rmarkdown, poweRlaw, cowplot, RClone",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"praise","praise","/Users/edc5240/Rlibs","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"prettyunits","prettyunits","/Users/edc5240/Rlibs","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pROC","pROC","/Users/edc5240/Rlibs","1.18.0",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.1"
"processx","processx","/Users/edc5240/Rlibs","3.6.1",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.0), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"prodlim","prodlim","/Users/edc5240/Rlibs","2019.11.13",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"progress","progress","/Users/edc5240/Rlibs","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"progressr","progressr","/Users/edc5240/Rlibs","0.10.1",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, crayon, pbmcapply, progress, purrr,
foreach, plyr, doFuture, future, future.apply, furrr,
rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"promises","promises","/Users/edc5240/Rlibs","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"proto","proto","/Users/edc5240/Rlibs","1.0.0",NA,NA,NA,NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"protolite","protolite","/Users/edc5240/Rlibs","2.1.1",NA,NA,"Rcpp (>= 0.12.12), jsonlite","Rcpp","spelling, curl, testthat, RProtoBuf, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"proxy","proxy","/Users/edc5240/Rlibs","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"pryr","pryr","/Users/edc5240/Rlibs","0.1.5",NA,"R (>= 3.1.0)","stringr, codetools, methods, Rcpp (>= 0.11.0), lobstr","Rcpp","testthat (>= 0.8.0)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"ps","ps","/Users/edc5240/Rlibs","1.7.1",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0),",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"pspline","pspline","/Users/edc5240/Rlibs","1.0-19",NA,"R (>= 2.0.0), stats, graphics",NA,NA,NA,NA,"Unlimited",NA,NA,NA,NA,"yes","4.1.1"
"psych","psych","/Users/edc5240/Rlibs","2.2.5",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme",NA,"psychTools, GPArotation, lavaan, lme4, Rcsdp, graph, knitr,
Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"purrr","purrr","/Users/edc5240/Rlibs","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"qgraph","qgraph","/Users/edc5240/Rlibs","1.9.2",NA,"R (>= 3.0.0)","Rcpp (>= 1.0.0), methods, grDevices, psych, lavaan, plyr,
Hmisc, igraph, jpeg, png, colorspace, Matrix, corpcor,
reshape2, ggplot2, glasso, fdrtool, gtools, parallel, pbapply,
abind","Rcpp","BDgraph, huge",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"quadprog","quadprog","/Users/edc5240/Rlibs","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"quantreg","quantreg","/Users/edc5240/Rlibs","5.93",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"tripack, akima, rgl, logspline, nor1mix, Formula, zoo, R.rsp,
conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"R6","R6","/Users/edc5240/Rlibs","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"rapidjsonr","rapidjsonr","/Users/edc5240/Rlibs","1.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"rappdirs","rappdirs","/Users/edc5240/Rlibs","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"raster","raster","/Users/edc5240/Rlibs","3.5-15",NA,"sp (>= 1.4-5), R (>= 3.5.0)","Rcpp, methods, terra (>= 1.5-12)","Rcpp","rgdal (>= 1.5-23), rgeos (>= 0.5-3), ncdf4, igraph, tcltk,
parallel, rasterVis, MASS, sf, tinytest, gstat, fields,
exactextractr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"ratelimitr","ratelimitr","/Users/edc5240/Rlibs","0.4.1",NA,NA,"assertthat",NA,"testthat, microbenchmark, knitr, rmarkdown, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rbibutils","rbibutils","/Users/edc5240/Rlibs","2.2.8",NA,"R (>= 2.10)","utils, tools",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"rcdd","rcdd","/Users/edc5240/Rlibs","1.5",NA,"R (>= 3.0.2)","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"rcmdcheck","rcmdcheck","/Users/edc5240/Rlibs","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"RColorBrewer","RColorBrewer","/Users/edc5240/Rlibs","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.1.1"
"Rcpp","Rcpp","/Users/edc5240/Rlibs","1.0.8.3",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"RcppArmadillo","RcppArmadillo","/Users/edc5240/Rlibs","0.11.2.0.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"RcppEigen","RcppEigen","/Users/edc5240/Rlibs","0.3.3.9.2",NA,NA,"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"RcppParallel","RcppParallel","/Users/edc5240/Rlibs","5.1.5",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"RcppProgress","RcppProgress","/Users/edc5240/Rlibs","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"RCurl","RCurl","/Users/edc5240/Rlibs","1.98-1.7",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"Rdpack","Rdpack","/Users/edc5240/Rlibs","2.3.1",NA,"R (>= 2.15.0), methods","tools, utils, rbibutils (>= 1.3)",NA,"grDevices, testthat, rstudioapi, rprojroot, gbRd",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"readr","readr","/Users/edc5240/Rlibs","2.1.2",NA,"R (>= 3.1)","cli (>= 3.0.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.5.6)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.1.2), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"readxl","readxl","/Users/edc5240/Rlibs","1.4.0",NA,"R (>= 3.4)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.4.0), progress","knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"recipes","recipes","/Users/edc5240/Rlibs","0.2.0",NA,"dplyr, R (>= 3.1)","ellipsis, generics (>= 0.1.0.9000), glue, gower, hardhat (>=
0.1.6.9001), ipred (>= 0.9-12), lifecycle, lubridate, magrittr,
Matrix, purrr (>= 0.2.3), rlang (>= 0.4.0), stats, tibble,
tidyr (>= 1.0.0), tidyselect (>= 1.1.0), timeDate, utils,
vctrs, withr",NA,"covr, ddalpha, dials (>= 0.0.10.9001), ggplot2, igraph,
kernlab, knitr, modeldata, parsnip (>= 0.1.7), RANN, RcppRoll,
rmarkdown, rpart, rsample, RSpectra, testthat (>= 3.0.0),
workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"RefManageR","RefManageR","/Users/edc5240/Rlibs","1.3.0",NA,"R (>= 3.0)","xml2, jsonlite, utils, plyr, tools, httr, lubridate (>=
1.5.0), stringr, methods",NA,"knitr, markdown, testthat, bibtex (>= 0.4.1)",NA,"GPL-2 | GPL-3 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"registry","registry","/Users/edc5240/Rlibs","0.5-1",NA,"R (>= 2.6.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"rematch","rematch","/Users/edc5240/Rlibs","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rematch2","rematch2","/Users/edc5240/Rlibs","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"remotes","remotes","/Users/edc5240/Rlibs","2.4.2",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"rentrez","rentrez","/Users/edc5240/Rlibs","1.2.3",NA,"R (>= 2.6.0)","XML, httr (>= 0.5), jsonlite (>= 0.9)",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"reprex","reprex","/Users/edc5240/Rlibs","2.0.1",NA,"R (>= 3.3)","callr (>= 3.6.0), cli (>= 2.3.1), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), rlang (>= 0.4.0), rmarkdown, rstudioapi,
utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"reshape","reshape","/Users/edc5240/Rlibs","0.8.9",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"reshape2","reshape2","/Users/edc5240/Rlibs","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"rex","rex","/Users/edc5240/Rlibs","1.2.1",NA,NA,"lazyeval",NA,"covr, dplyr, ggplot2, Hmisc, knitr, magrittr, rmarkdown,
roxygen2, rvest, stringr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"rgdal","rgdal","/Users/edc5240/Rlibs","1.5-32",NA,"R (>= 3.5.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils","sp","knitr, DBI, RSQLite, maptools, mapview, rmarkdown, curl,
rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"rgeos","rgeos","/Users/edc5240/Rlibs","0.5-9",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"RgoogleMaps","RgoogleMaps","/Users/edc5240/Rlibs","1.4.5.3",NA,"R (>= 2.10)","graphics, stats, utils, grDevices, methods, png,sp",NA,"PBSmapping, maptools, loa, RColorBrewer, leaflet,jpeg, RCurl",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"rio","rio","/Users/edc5240/Rlibs","0.5.29",NA,"R (>= 2.15.0)","tools, stats, utils, foreign, haven (>= 1.1.2), curl (>= 0.6),
data.table (>= 1.9.8), readxl (>= 0.1.1), openxlsx, tibble",NA,"datasets, bit64, testthat, knitr, magrittr, arrow, clipr,
feather, fst, hexView, jsonlite, pzfx, readODS (>= 1.6.4),
readr, rmarkdown, rmatio, xml2 (>= 1.2.0), yaml",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"ritis","ritis","/Users/edc5240/Rlibs","1.0.0",NA,NA,"solrium (>= 1.1.4), crul (>= 0.9.0), jsonlite, data.table,
tibble",NA,"testthat, webmockr, vcr (>= 0.5.4)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rJava","rJava","/Users/edc5240/Rlibs","1.0-6",NA,"R (>= 3.6.0), methods",NA,NA,NA,NA,"LGPL-2.1",NA,NA,NA,NA,"yes","4.1.1"
"rjson","rjson","/Users/edc5240/Rlibs","0.2.21",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"RJSONIO","RJSONIO","/Users/edc5240/Rlibs","1.3-1.6",NA,NA,"methods",NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"rlang","rlang","/Users/edc5240/Rlibs","1.0.2",NA,"R (>= 3.4.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rle","rle","/Users/edc5240/Rlibs","0.9.2",NA,"R (>= 3.5)","methods",NA,"covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"rmapshaper","rmapshaper","/Users/edc5240/Rlibs","0.4.6",NA,NA,"geojsonio (>= 0.9.4), geojsonlint (>= 0.4.0), jsonlite (>=
1.7.0), methods, readr (>= 1.4.0), sf (>= 0.9-0), sp (>=
1.4-0), V8 (>= 3.4.2)",NA,"knitr, magrittr, rgdal, rgeos, rmarkdown, testthat (>=
2.1.0), covr, units",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rmarkdown","rmarkdown","/Users/edc5240/Rlibs","2.14",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), htmltools (>= 0.3.5),
jquerylib, jsonlite, knitr (>= 1.22), methods, stringr (>=
1.2.0), tinytex (>= 0.31), tools, utils, xfun (>= 0.30), yaml
(>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, tufte, vctrs, withr (>= 2.4.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"rmetasim","rmetasim","/Users/edc5240/Rlibs","3.1.15",NA,"R (>= 3.4.0)","pegas, ade4, gtools, adegenet",NA,"magrittr, knitr, ggplot2, reshape2, rmarkdown, lattice",NA,"GPL",NA,NA,NA,NA,"yes","4.1.2"
"rmutil","rmutil","/Users/edc5240/Rlibs","1.1.9",NA,"R (>= 1.4)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"rncl","rncl","/Users/edc5240/Rlibs","0.8.6",NA,"R (>= 3.1.1)","Rcpp (>= 0.11.0), progress (>= 1.1.2), stats","Rcpp, progress","testthat, ape",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ROI","ROI","/Users/edc5240/Rlibs","1.0-0",NA,"R (>= 2.10)","methods, registry (>= 0.5), slam, utils",NA,"numDeriv",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"rotl","rotl","/Users/edc5240/Rlibs","3.0.12",NA,"R (>= 3.1.1)","ape, assertthat (>= 0.1), httr, jsonlite, rentrez, rncl (>=
0.6.0)",NA,"knitr (>= 1.12), MCMCglmm, phylobase, readxl, rmarkdown (>=
0.7), RNeXML, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"roxygen2","roxygen2","/Users/edc5240/Rlibs","7.2.0",NA,"R (>= 3.3)","brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), digest,
knitr, methods, pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>=
2.1.2), rlang (>= 1.0.0), stringi, stringr (>= 1.0.0), utils,
withr, xml2","cpp11","covr, R.methodsS3, R.oo, rmarkdown, testthat (>= 3.1.2),",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"RPostgreSQL","RPostgreSQL","/Users/edc5240/Rlibs","0.7-3",NA,"R (>= 2.9.0), methods, DBI (>= 0.3)",NA,NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"rprojroot","rprojroot","/Users/edc5240/Rlibs","2.0.3",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rredlist","rredlist","/Users/edc5240/Rlibs","0.7.0",NA,NA,"crul (>= 0.3.8), jsonlite (>= 1.1)",NA,"testthat, vcr (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rrtable","rrtable","/Users/edc5240/Rlibs","0.3.0",NA,"R(>= 2.10)","stringr, ggplot2 (>= 2.2.0), officer (>= 0.4.1), purrr (>=
0.2.4), flextable (>= 0.4.4), rvg, magrittr, devEMF, moonBook
(>= 0.1.8), rmarkdown, shiny, editData, shinyWidgets, ggpubr,
rlang, readr (>= 1.1.1), ztable (>= 0.1.8)",NA,"knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"Rsolnp","Rsolnp","/Users/edc5240/Rlibs","1.16",NA,"R (>= 2.10.0)","truncnorm, parallel, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"RSpectra","RSpectra","/Users/edc5240/Rlibs","0.16-1",NA,"R (>= 3.0.2)","Matrix (>= 1.1-0), Rcpp (>= 0.11.5)","Rcpp, RcppEigen (>= 0.3.3.3.0)","knitr, rmarkdown, prettydoc",NA,"MPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RSQLite","RSQLite","/Users/edc5240/Rlibs","2.2.14",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig, Rcpp (>= 1.0.7)","plogr (>= 0.2.0), Rcpp","callr, DBItest (>= 1.7.0), gert, gh, knitr, rmarkdown, hms,
rvest, testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.1.1"
"rstatix","rstatix","/Users/edc5240/Rlibs","0.7.0",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.0.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"rstudioapi","rstudioapi","/Users/edc5240/Rlibs","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rversions","rversions","/Users/edc5240/Rlibs","2.1.1",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rvest","rvest","/Users/edc5240/Rlibs","1.0.2",NA,"R (>= 3.2)","httr (>= 0.5), lifecycle (>= 1.0.0), magrittr, rlang (>=
0.4.10), selectr, tibble, xml2 (>= 1.3)",NA,"covr, glue, knitr, readr, rmarkdown, repurrrsive, spelling,
stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"rvg","rvg","/Users/edc5240/Rlibs","0.2.5",NA,"R (>= 3.0)","grDevices, Rcpp (>= 0.12.12), officer (>= 0.3.6), gdtools (>=
0.2.1), xml2 (>= 1.0.0), rlang","Rcpp, gdtools","rmarkdown, htmltools, testthat, covr, grid, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"s2","s2","/Users/edc5240/Rlibs","1.0.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.5.0)","Rcpp, wk","testthat, vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.1.1"
"sampling","sampling","/Users/edc5240/Rlibs","2.9",NA,NA,"MASS, lpSolve",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"sandwich","sandwich","/Users/edc5240/Rlibs","3.0-2",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lme4, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"sass","sass","/Users/edc5240/Rlibs","0.4.1",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"scales","scales","/Users/edc5240/Rlibs","1.2.0",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"segmented","segmented","/Users/edc5240/Rlibs","1.6-0",NA,"MASS, nlme",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.1.1"
"SEL","SEL","/Users/edc5240/Rlibs","1.0-3",NA,"splines, quadprog, lattice",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.2.0"
"selectr","selectr","/Users/edc5240/Rlibs","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.1.0"
"seqinr","seqinr","/Users/edc5240/Rlibs","4.2-16",NA,"R (>= 2.10.0)","ade4,segmented",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"sessioninfo","sessioninfo","/Users/edc5240/Rlibs","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"sf","sf","/Users/edc5240/Rlibs","1.0-7",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.0.7), stats, tools, units
(>= 0.7-0), utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, Matrix, microbenchmark, odbc, pillar,
pool, raster, rlang, rmarkdown, RPostgres (>= 1.1.0),
RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>= 2.0-1),
spatstat.geom, spatstat.random, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat, tibble (>=
1.4.1), tidyr (>= 1.2.0), tidyselect (>= 1.0.0), tmap (>= 2.0),
vctrs, wk",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"sfheaders","sfheaders","/Users/edc5240/Rlibs","0.4.0",NA,NA,"geometries (>= 0.2.0), Rcpp","geometries, Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"sfsmisc","sfsmisc","/Users/edc5240/Rlibs","1.1-13",NA,"R (>= 3.3.0)","grDevices, utils, stats, tools",NA,"datasets, tcltk, cluster, lattice, MASS, Matrix, nlme, lokern","mgcv, rpart, nor1mix, polycor, sm, tikzDevice, e1071, Hmisc,
gmp, pastecs, polynom, robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
